Game ID,Player X,Name X,Player O,Name O,Move,Winning Side,Winner Name
1,Human,davy,Bot,gab,9,X,davy
2,Human,davy,Bot,gab,9,X,davy
3,Human,davy,Bot,gab,9,Tie,
4,Human,davy,Bot,gab,8,O,gab
5,Bot,davy,Human,gab,6,O,gab
6,Bot,davy,Human,gab,7,X,davy
7,Human,davy,Bot,gab,7,X,davy
8,Bot,davy,Human,gab,7,X,davy
9,Human,davy,Bot,gab,9,X,davy
10,Bot,davy,Bot,gab,6,X,davy
11,Bot,gab,Human,davy,6,O,davy
12,Bot,gab,Bot,davy,9,X,gab
13,Bot,alice,Bot,jack,7,X,alice
14,Bot,alice,Bot,jack,7,X,alice
15,Bot,alice,Bot,jack,9,Tie,
16,Bot,alice,Bot,jack,7,X,alice
17,Bot,ailce,Bot,jcak,7,X,ailce
18,Bot,ailce,Bot,jack,9,X,ailce
19,Bot,ailce,Bot,jack,7,X,ailce
20,Bot,ailce,Bot,jack,9,Tie,
21,Human,davy,Bot,gab,9,X,davy
22,Human,davy,Bot,gab,6,X,davy
23,Bot,davy,Human,gab,7,X,davy
24,Bot,davy,Human,gab,8,O,gab
25,Bot,ailce,Bot,alice,6,O,alice
26,Bot,ailce,Bot,alice,7,X,ailce
27,Bot,ailce,Bot,alice,8,O,alice
28,Bot,ailce,Bot,alice,9,Tie,
29,Bot,ailce,Bot,alice,9,Tie,
30,Bot,ailce,Bot,alice,9,X,ailce
31,Bot,ailce,Bot,alice,8,O,alice
32,Bot,ailce,Bot,alice,8,O,alice
33,Bot,ailce,Bot,alice,7,X,ailce
34,Bot,alice,Bot,ailce,7,X,alice
35,Bot,davy,Bot,gab,8,O,gab
36,Bot,davy,Bot,gab,8,O,gab
37,Bot,davy,Bot,gab,8,O,gab
38,Bot,davy,Bot,gab,7,X,davy
39,Bot,davy,Bot,o,8,O,o
40,Bot,davy,Bot,gab,6,O,gab
41,Bot,davy,Bot,gab,9,X,davy
42,Bot,davy,Bot,gab,6,X,davy
43,Bot,davy,Bot,gab,9,X,davy
44,Bot,davy,Bot,gab,9,X,davy
45,Bot,davy,Bot,gab,6,O,gab
46,Bot,davy,Bot,gab,7,X,davy
47,Bot,davy,Bot,gab,9,X,davy
48,Bot,davy,Bot,gab,9,X,davy
49,Bot,davy,Bot,gab,8,O,gab
50,Bot,davy,Bot,gab,7,X,davy
51,Bot,davy,Bot,gab,6,O,gab
52,Bot,davy,Bot,gab,9,X,davy
53,Bot,davy,Bot,gab,7,X,davy
54,Bot,davy,Bot,gab,6,O,gab
55,Bot,gab,Bot,davy,9,Tie,
56,Bot,davy,Bot,gab,9,X,davy
57,Bot,davy,Bot,gab,9,X,davy
58,Bot,davy,Bot,gab,6,O,gab
59,Bot,davy,Bot,gab,8,O,gab
60,Bot,davy,Bot,gab,9,X,davy
61,Bot,davy,Bot,gab,6,O,gab
62,Bot,davy,Bot,gab,6,X,davy
63,Bot,davy,Bot,gab,9,Tie,
64,Bot,davy,Bot,gab,9,Tie,
65,Bot,davy,Bot,gab,9,X,davy
66,Bot,davy,Bot,gab,8,O,gab
67,Bot,davy,Bot,gab,8,O,gab
68,Bot,davy,Bot,gab,9,X,davy
69,Bot,davy,Bot,gab,7,X,davy
70,Bot,davy,Bot,gab,7,X,davy
71,Bot,davy,Bot,gab,8,O,gab
72,Bot,davy,Bot,gab,9,Tie,
73,Bot,davy,Bot,gab,9,Tie,
74,Bot,davy,Bot,gab,7,X,davy
75,Bot,davy,Bot,gab,6,X,davy
76,Bot,davy,Bot,gab,9,X,davy
77,Bot,davy,Bot,gab,7,X,davy
78,Bot,davy,Bot,gab,8,O,gab
79,Bot,davy,Bot,gab,7,X,davy
80,Bot,davy,Bot,gab,6,X,davy
81,Bot,davy,Bot,gab,8,O,gab
82,Bot,davy,Bot,gab,9,X,davy
83,Human,davy,Bot,gab,6,O,gab
84,Human,davy,Human,alice,9,Tie,
85,Bot,davy,Bot,gab,9,Tie,
86,Human,davy,Bot,gab,9,X,davy
87,Human,davy,Human,alice,9,X,davy
88,Bot,alice,Bot,ailce,7,X,alice
